topic,text,n_words
Какова роль человеческой памяти?,"Проблема, поднятая в тексте, несомненно, очень интересна. Автор решает ее на примере старика, приехавшего повидать родные для сердца места – туда, где он жил долгое время. Сейчас здесь поле, маленькая рыбная речка Сисява , и уже ничто не напоминает о том, что раньше тут была деревня: бегали ребятишки, стояли красивые дома, росли яблоки. Все эта красота, согревающая душу, осталась лишь в сознание деда, который тоскует и плачет по утерянной земле. И так всю жизнь: появляется новое, а что-то безвозвратно остается в прошлом. И можно ли повлиять на вечность? Нет, в наших силах лишь сберечь память о прожитых годах, событиях, людях, с которыми свела нас судьба.
Позиция публициста такова: все в мире преходящее, и лишь только благодаря памяти мы имеем возможность знать свое прошлое и «не даем холодным ветрам вечности его погасить».
Невозможно не согласиться с данным утверждением, поскольку знать то, что происходило с нашим Отечеством, народом,обязан знать каждый человек, которому не безразлична своя судьба и судьба близких ему людей.
Вспомним пьесу А.П.Чехова «Вишневый сад». Яша, один из ее героев, молодой лакей- хам, невежественный, но очень довольный собой, преклоняющийся перед всем иностранным, не желает общаться с родной матери... Яша - живое воплощение беспамятства, поэтому, как он сам, так и его жизнь никчемна, глупа, бессмысленна, в нем нет ничего нравственного, духовного. 
Другой пример, сразу вспомнившийся мне при чтении текста, повесть В.Распутина «Прощание с Матерой». Дарья, одна из главных героинь, отважная, сильная по духу женщина. Она с любовью, бережливо относится к тому, что осталось у нее от прошлого – дом и родные могилы. Они для нее символы памяти. Героиня стремится сохранить их и в тот момент, когда их разоряют чужие люди, и тогда, когда остров должен навсегда уйти под воду. Но, к сожалению, могилы спасти нельзя, но можно проститься с теми, кто жил до нее, наставлял ее, кто ушел из жизни, оставив после себя воспоминания. И пока жива эта память, не порвется нить, связывающая поколения.
Сделать вывод по поставленной проблеме мне поможет цитата польского философа Тадеуша Котарбиньского: ""Прошлое, хранящееся в памяти, есть часть настоящего"".",327
"Достойны ли люди, рискующие жизнью ради других, вечной памяти?","В данном тексте из Интернета рассказчик повествует нам о подвиге бесстрашной женщины, которая в годы войны вывезла на своем грузовичке много детей из гетто. Немцы жестоко наказали Ирину Сандлер, но что переломанные руки и ноги, если спасены тысячи жизней! Спустя десятилетия Ирину Сандлер за ее подвиг номинировали на Нобелевскую премию Мира. Выдвижением все и ограничилось: лауреатом престижной премии стал автор слайд-шоу по всемирному потеплению, затем президент со своими предвыборными обещаниями, которые он не выполнил, но не 90-летняя женщина-героиня! Все это вызвало сарказм у автора.
Позицию публициста определить не сложно: люди, совершившие подвиг, достойны высокой награды.
Я разделяю точку зрения автора: герои, рискующие жизнью ради других, не стремятся добиться славы и уважения, но они, несомненно, заслужили и наград, и того, чтобы остаться в нашей памяти. Об этом не раз писали русские писатели и публицисты.
Доказательствами того, что мы помним о людях, совершивших подвиг, являются монументы, скульптуры, памятные монеты... Что-то в честь увековечивания делается государством, а что-то  - на средства простых людей. Примером этого является памятник, воздвигнутый в Новгороде в честь 500-летия освобождения от ордынского владычества, средства, на постройку которого в 1980 году были собраны горожанами.
В Интернете есть сайт«Вечная память», в базе данных которого находится информация о тысячах солдат, принявших участие в Великой Отечественной войне. Многие люди находят там данные о пропавших родственниках или же могут извлечь интересные факты  подвигов советских солдат. Вот она, память, сохраненная  десятилетия!
Делая вывод, хочу сказать, что каждый человек, совершивший подвиг, достоин остаться в нашей памяти. ",235
Проблема памяти,"Память – вот главная проблема, которую ставит перед нами советский публицист и драматург Леонид Пантелеев.
Этот вечный вопрос, несомненно, злободневен. Над ним размышляли во все эпохи многие умы человечества, как представители творческих, научных профессий, так и люди, занятые физическим трудом.
Своё отношение к проблеме памяти автор раскрывает в тексте, описывая танкиста, огромного человека, бережно хранящего крошечный носовой платочек, подаренный ему маленькой девочкой из детского дома в блокадном Ленинграде. Этот офицер прошёл трудными дорогами войны, потерял друзей, близких, но сохранил памятный платочек девочки-ленинградки, подаренный ей умирающей матерью. И не просто сохранил, а исполнил наказ девчурки: помахал в сторону города Петра, стоя у подножия Рейхстага.
Я, безусловно, разделяю позицию Л.Пантелеева: память играет особую нравственную роль в нашей жизни. Казалось бы, что значительного может таить в себе маленький кусочек ткани? А он хранит воспоминания о трагической судьбе жительницы блокадного города, трудном детстве её дочки Лидочки, о радостных победных днях в поверженном Берлине.
К сожалению, не все мои современники так трепетно относятся к памятным годам Священной войны. Нашлись варвары в Таллине, Львове, Кутаиси, которые подняли руку на памятники воинам-освободителям…
Но не всё так плохо с памятью у миллионов бывших граждан СССР. Сколько людей вышло на защиту этих постаментов! Они, протестуя против сноса памятников, не имели личной выгоды, не исполняли чужого приказа, а шли по зову души, совести, желая оставить для своих потомков нечто большее, чем материальные ценности, доказывая, что спустя десятилетия после развала могучей страны, они не стали «иванами, не помнящими родства»…",233
Надо вовремя искупать вину перед близкими людьми,"Автор рассказывает нам печальную историю из жизни своего друга, который не смог вовремя извиниться перед своей мамой за то, что не навестил ее в больнице… С.Львов с сочувствием передает всю горечь и страдания, которые вынес молодой человек, призывает нас не задерживаться в извинениях перед обиженными нами людьми, особенно перед близкими.
Публицист считает, что нужно всегда вовремя исправлять свои ошибки, иначе можно и опоздать.
Я полностью разделяю точку зрения автора. Мы порою причиняем боль своим близким, считая, что всегда сможем загладить вину, но часто забываем о том, что можем и не успеть…
Вспоминаю героиню рассказа К.Г. Паустовского «Телеграмма» Настю. Девушка, полностью окунувшись в работу, забывает о своей матери и, несмотря на то что не видела Катерину Ивановну три года, не находит времени даже прочесть от нее письмо. Но получив телеграмму, в которой сообщалось, что мать при смерти, Настя в тот же вечер выезжает домой. Но, увы, девушка приезжает поздно… Она проплачет в комнате матери целый день, но некому уже успокоить дочку и простить ее… Уверена, что теперь до конца жизни Насте придется жить с этим чувством вины.
Этой доли не избежит и Семен, герой рассказа Е. Карпова «Меня зовут Иваном». Сын дважды обидит мать…Вернувшись с войны инвалидом, он не пожелает вернуться в родной дом, посчитает, что матери легче считать его мертвым, чем ежедневно видеть сына калекой…А когда Анна Филипповна, случайно встретившись в поезде с нищим инвалидом, по голосу узнает сына, тот отречется от нее! Через несколько минут Семен вернется в вагон, будет искать мать…Но, к сожалению, прозрение придет к нему очень поздно!
Таким образом, могу сделать вывод, что надо вину перед близкими искупать вовремя.",258
"Об обиде, которая не должна копиться в наших сердцах","Этот нравственный вопрос относится к категории вечных, так как размышлял над ней не один человек на протяжении столетий. Думаем над этим и мы, но гораздо реже, чем предшественники.
Автор считает, что обида - это то чувство, которое нам не помогает, а лишь мешает жить и радоваться всему хорошему. А хорошего в нашем мире намного больше, чем плохого. Только не зная обиды, человек понимает, что в его сердце есть место для светлых и жизнерадостных мыслей, для планов на будущее, но не для обид!
Я полностью разделяю точку зрения автора. Действительно, обида не должна копиться в наших сердцах: она омрачает жизнь человека.
Размышляя над этой проблемой, вспоминаю повесть Юрия Короткова «Седой». Главный герой Олег многие годы держал обиду на родную мать за то, что она сдала в детский дом детей. Олег поседел в семь лет. Обида десятилетия сжигала его душу. Он ни с кем не дружил, никого не любил, никого не боялся. Кулак – было единственное «достоинство» героя. При его помощи он отстаивал свою честь, честь сестры. И только после трагической смерти друга Александра Петухов попытается оправдать мать, забыть обиду и в результате пойдет на ее могилу…
Я навсегда запомнила историю – притчу о двух друзьях. Один из них сказал: « Когда кто – либо нас обижает, мы должны написать об этом на песке, чтобы ветры могли стереть запись. Но когда кто – то делает что – либо хорошее, мы должны выгравировать это на камне, чтобы никакой ветер не смог бы стереть этого».
На мой взгляд, лучше не скажешь!",242
Проблема покаяния,"Грех и покаяние…Вечные человеческие проблемы, поднятые еще в «Книге книг» - Библии. «…покайтесь, ибо приблизится Царство Небесное»,- говорится там. Но не все люди живут по христианским обычаям: грешат, а о покаянии забывают, поэтому эта нравственная проблема остается актуальной.
А.С.Пушкин, рассказывая о «прекрасной барыне», посетившей могилу старого смотрителя, словно ставит точку в повествовании: дочка бедного старика не забыла его, специально приехала в родные места. Узнав о смерти отца, Дуня пришла на кладбище и долго лежала не могиле человека, которого она так бессердечно погубила. Вот она, минута покаяния…
Думаю, автор, жалея своего героя, все-таки чуть-чуть жалеет и оправдывает его легкомысленную дочку: причина ее предательства – Любовь к прекрасному гусару…Я же считаю, что нет Дуне прощения. Ни любовь, ни война, ни стихийные бедствия не должны быть для нас препятствием в осуществлении главного своего нравственного долга, долга перед родителями.
К сожалению, многие сыновья и дочери забывают об этом. Вспомним героиню рассказа К.Паустовского «Телеграмма» Настю. Что мешало этой умной, красивой, доброй женщине проведать старую, больную мать, хоть как-то скрасить ее одинокую старость. Нет, не скрасила… Наверное, так же как и героиня Пушкина, Настя, придя на кладбище, долго лежала на могиле матери, звала любимую, молила о прощении. Но автор не описывает нам этой сцены, видимо, считая, что дочка старой учительницы его не заслужила.
Как не заслужили прощения и многие мои современники, богатые и бедные люди, которые не заботятся о своих родителях, отдают немощных стариков в специальные интернаты. Эти выросшие дети, видимо, забыли, что родителям, кроме чистой постели, тарелки супа, нужны теплые слова, взаимопонимание и любовь рожденных и взращенных ими детей…",250
Чем можно исцелить ненависть людей друг к другу,"И. А. Ильин, рассуждая о ненависти, описывает поведение человека в момент восприятия «чужой антипатии». Она может вызвать в нас самих, как считает автор, некоторое смущение или даже замешательство, чувство неудачи или собственной неумелости. Публицист предупреждает читателей о том, что нельзя копить в себе эту чужую ненависть. Ее необходимо укротить лучом настоящей любви и всепрощения.
Авторская позиция сформулирована очень четко: «…ненависть исцеляется любовью и только любовью».
Я согласна с мнением И. Ильина. Не раз наблюдала в классе, как напряжение и злоба рассеивались, конфликт исчерпывался только от того, что кто-то из ребят удачно пошутил или спокойно и примиряющее призвал к любви и взаимопониманию.
Трагедия В.Шекспира «Ромео и Джульетта»- один из самых наглядных примеров, доказывающих, что у ненависти один конец – смерть. И только любовь, луч которой укрощает даже диких зверей, спасает осиротевшие семьи Капулетти и Мантекки от нравственного падения.
Так, в романе И. С. Тургенева «Отцы и дети» человеком, который хотел всех примирить, всех понять и полюбить, был отец Аркадия Николай Петрович Кирсанов. Вся его жизнь в имении построена на взаимопонимании и любви, стремлении к миру и гармонии.  Он не раз призывал своего брата, Павла Петровича, испытывающего сначала неприязнь, а затем и ненависть к Евгению Базарову, вслушаться в слова молодого вольнодумца, постараться понять его, а если не получится, то хотя бы простить. 
Таким образом, могу сделать вывод, что ненависть можно исцелить только любовью.",217
Инвалид - не инвалид… Люди так не делятся,"С первых строк текста понятно, что Л. Улицкая очень сочувствует своему герою. Ей жалко мальчика Геню, отторгнутого ребятами во дворе и в школе из-за его нелепой фамилии, отсутствия отца, а главное – из-за инвалидности. Но как  радуется автор тому, что мальчик смог наладить отношения со сверстниками, которые оценили талант Гени и, не обращая внимание на его физические недостатки, с радостью приняли его в свою компанию.
 Л. Улицкая считает, что люди не должны делиться по принципу «инвалид – не инвалид».
Я полностью разделяю точку зрения автора, так как считаю, что инвалиды - такие же люди, как и все, сильные и слабые, талантливые и не очень, они также испытывают минуты падения и минуты торжества.
Ярким примером сказанному является судьба Л.Бетховена. После тяжелой болезни он полностью потерял слух, но закончил «Третью Симфонию» и написал оперу «Фиделио», которая с небывалым успехом шла в лучших оперных театрах Вены, Берлина и Праги.  В течение десяти лет Бетховен без устали  создавал сонаты, реквиемы и оперы. Его слава в то время достигла небывалого масштаба. Никто не обращал внимания на его физический недостаток. Все восторгались и восторгаются талантом гениального композитора.
И в наши дни инвалиды являются для нас примером мужества, стойкости. Вспомним четырехкратного паралимпийского чемпиона Ирека Зарипова. Несмотря на то что он в аварии потерял ноги, юноша смог закончить учебу, начал упорно тренироваться и достиг всемирного признания в таких сложных видах спорта, как лыжные гонки и биатлон. У И. Зарипова прекрасная семья, масса друзей, поклонников, и никого из них не смущает то, что мужчина –инвалид.
Таким образом, могу сделать вывод, что мы не делимся на инвалидов и не инвалидов, так как все равны. Мы обязаны ценить человека по его внутренним качествам и способностям.",270
Как человеческая красота влияет на взаимоотношения между людьми?,"Автор эссе, рассуждая о жизненном пути таких красавиц, как Клеопатра, Мэрилин Монро, принцесса Диана, делает вывод, что очень красивые люди, как правило, несчастны. Психолог находит и причины их бед: избалованность с детства, черствость, эгоизм, высокомерие. Все эти черты красавиц и красавцев, на ее взгляд, вызывают у окружающих нежелание связывать свою жизнь с ними, потому что эти люди не способны понимать другого человека. Позиция автора данного эссе ясна: красивый внешне человек очень часто не может найти свое место в жизни, в обществе, бывает несчастен, потому что эгоистичен, высокомерен, избалован. 
Я полностью разделяю мысль автора, потому что считаю, что красивые люди всегда высокомерны, лишены чувства такта и чуткости, с ними трудно не только идти рядом по жизни, но и общаться.
Ярким примером того, что красота может сделать несчастными всех вокруг себя, является героиня романа Л.Н. Толстого «Война и мир» Элен Безухова. В начале романа очарование этой женщины заставляло окружающих восхищаться ею, а в конце – думать об этой развратной и эгоистичной особе с презрением.
В Интернете недавно познакомилась с результатами социологического опроса на тему: «Какой бы вы видели свою спутницу жизни». Из трех вариантов ответа большинство молодых людей остановились на ответе «привлекательной, но некрасивой». В очередном вопросе они объяснили свой выбор тем, что «с красивыми скучно и не надежно…»
Делаю вывод, что красота может влиять на взаимоотношения между людьми, как правило, отрицательно…",217
Какие люди способны ставить перед собой высокие цели,"В своем интервью она с сожалением пишет о том, что богатые люди не задумываются « о глобальных вещах». Их мысли только о себе,«зарабатывание денег» для них - самоцель, получение адреналина. Других интересов у них нет. Но среди богатых людей, отмечает автор, есть и такие, которым безразлично, «во что они одеты, какая у них жена».Для них важнее слава после смерти…
По мнению Т. Толстой, только сильные личности способны ставить перед собой высокие цели: учредить премию, открыть музей, построить больницу .
С мнением автора трудно не согласиться. В мире огромное количество богатых людей, но лишь единицы задумываются о вечном...
Яркий пример сильной личности - П.М. Третьяков. Он был известен как щедрый благотворитель и общественный деятель. Приют для вдов и малолетних детей, училище для глухонемых – вот что оставил меценат после своей смерти. Но главное его детище - национальная художественная галерея. По значимости собрания Третьяковки (так любовно называли и называют ее москвичи) находятся в одном ряду с крупнейшими музеями России и мира…
Еще один пример сильной личности - шведский химик и инженер Альфред Нобель. В своем завещании он выделил 31 миллион крон на учреждение премии, присуждаемой ученым, общественным деятелям, писателям вне зависимости от национальности. На сегодняшний день Нобелевская премия - самая престижная в мире.
Таким образом, я могу сделать вывод. Действительно, только сильные личности способны ставить перед собой высокие цели.",212
Крик – это проявление человеческой слабости,"Автор с негодованием описывает жизненные ситуации, когда люди пытаются решить свои проблемы с помощью крика. Он рассказывает о матери, казалось бы, из благополучной семьи, которая воспитывает детей так, что «это слышно сквозь двери, окна, стены». Какие слова она бросает в адрес своих маленьких дочек: «Идиотка! Убью!». С. Львов использует яркое сравнение, когда говорит, что лай собаки, разбуженной этой мамашей, «звучит интеллигентнее этого крика». По мнению автора, бесконечно опасен крик в педагогическом коллективе. Говоря о работе тренера, «мастера своего дела», С. Львов подчеркивает его грубость и несдержанность. Публицист уверен: так работать с детьми и подростками нельзя.
Крик, считает автор, - «маска профессиональной некомпетентности», признак усталости и слабости. Своим криком люди прикрывают неумение работать, «симулируют активную деятельность, которой на самом деле нет».
Трудно не согласиться с автором. Ведь крик – это проявление человеческой слабости, признак духовной деградации кричащего человека.
Вспомним, к примеру, рассказ А.П.Чехова «Ионыч», главный герой которого, замечательный врач, со временем утратил свои лучшие человеческие качества, забыл об этике врача. Он постоянно кричит на своих пациентов, грубит им, забыв о том, что обязан помогать больным.
Градоначальник Угрюм-Бурчеев, герой романа «История одного города» М.Е Салтыкова-Щедрина, также является ярким примером грубости и несдержанности. По всем его владениям постоянно разносится ужасный крик градоначальника, заставляющий людей дрожать и беспрекословно выполнять его бессмысленные приказы. А чего еще ждать от этого «идиота», как характеризовал его автор? Но ведь мамаша, героиня текста С. Львова, в умственном плане нормальный человек…
Таким образом, могу сделать вывод о том, что крик относится к одним из наших главных недостатков, обусловленных проявлением слабости, усталости, профессиональной некомпетентности.",248
Крушение мечты,"И.А.Бунин, рассказывая о горбуне, которого впервые в жизни пригласили на любовное свидание, не скупится на краски, описывая состояние мужчины в ожидании чудесной встречи. Когда же этот миг настанет, в душе горбуна, да и, думаю, автора все оцепенеет, рухнет: навстречу несчастному будет идти горбунья! 
Авторскую позицию определить очень сложно: И.А.Бунин ни слова не говорит о том, что думает. Просто он перед словом ""горбунья"" ставит тире.  Этот, казалось бы, бессловесный знак, на мой взгляд, вмещает все, что чувствует горбун: крушение мечты, низвержение идеала... 
Как я сочувствую несчастному горбуну и еще более - несчастной горбунье! Каково было ей увидеть на лице мужчины потрясение, разочарование и, возможно, презрение... Вот где, действительно, обрушились все мечты! 
Подобные чувства испытал горбун Кваземоду, герой романа В.Гюго ""Собор Парижской Богоматери"", когда его любовь отвергла прекрасная цыганка Эсмеральда. Все надежды на счастье рухнули в один миг! 
Не горбуньей, а красавицей была Надежда, героиня рассказа И.А.Бунина ""Темные аллеи"". А какое крушение мечты испытала, ""руки на себя наложить от обиды"" хотела,  когда Николай Алексеевич ""очень бессердечно"" ее бросил… 
Таким образом, могу сделать вывод, что крушение мечты может испытать каждый из нас, больной и здоровый, красивый и безобразный, бедный и богатый",188
Можно ли общаться без крика?,"В тексте он рассказывает о женщине, которая беспрерывно кричит на своих детей. Это ее система воспитания. Автор с озабоченностью говорит о том, что придет такой момент, когда эти дети вырастут и начнут кричать на свою мать. Писатель, испытывая чувство неловкости, говорит о том, что когда-то и он не сдержался, повысил голос на шумящую аудиторию. Но когда он стал опытнее, то понял: на такую аудиторию нужно не кричать, а наоборот, говорить как можно тише: тогда все тебя будут слушать.
Позиция автора, Сергея Львовича Львова, отчетливо видна в последних предложениях текста: «Крик – маска профессиональной некомпетентности, отсталости».
Я разделяю позицию автора: крик – не выход из ситуации. Нужно быть разумнее и искать другие пути решения проблем.
В Интернете, на форуме молодых педагогов, узнала, что много начинающих учителей прибегает к повышению голоса на уроках из-за малого профессионального опыта работы. Постоянный крик на уроках, угрозы мешают усвоению материала учениками и не лучшим образом влияют на репутацию учителя.
Я за годы обучения в школе повидала многих учителей. Есть такие, кому ни кричать, ни угрожать учащимся нет необходимости. Им достаточно просто недовольно свести брови, нахмуриться, сосчитать до трех или удачно пошутить, и порядок в классе восстановлен, мы можем идти дальше в освоении материала. Именно некричащий учитель дорог ребятам, его они запомнят на долгие годы.
Делая вывод, хочу отметить, что нужно быть и детям, и родителям, и учителям сдержанными в любой ситуации и ни в коем случае не прибегать к крику, который к добру не приведет.",234
"Как человек должен относиться к преступлениям, о которых он знает","Автор рассказывает о воспитательнице детского дома, ставшей очевидцем бессовестного воровства завхозом этого учреждения. Все работники заведения, в том числе и завуч, знали о творящемся безобразии и молчали… Таким образом, они становились соучастниками. По мнению автора, “молчание - даже худшее зло, чем воровство”. Ф.И.Соколова уверена: поймай завхоз « хоть раз чей-нибудь укоряющий взгляд, услышь слово осуждения из уст своих коллег, ничего бы такого не случилось». Доказательством этого является столкновение вора и молодой воспитательницы, которая обличила мужчину в краже. 
Позицию публициста определить не сложно: нельзя молчать, зная о совершенном на твоих глазах преступлении.
Я разделяю точку зрения Ф.А. Соколовой. Действительно, мы не имеем права скрывать преступления, потому что этим содействуем их процветанию. Проявление зла необходимо пресекать. К сожалению, делают это немногие.
В Интернете прочитала статью о молодом кардиологе Иване Хренове, своим смелым поступком показавшем, как необходимо относиться к проявлению зла. Рискуя потерять любимую работу, доктор рассказал всей стране о том, в каком упадочном состоянии находится медицина в Ивановской области. Он уличил во лжи чиновников из министерства здравоохранения, обманывавших руководство страны и простых пациентов. Вот так должен поступать каждый из нас, видя зло и совершающиеся преступления.
Еще одним ярким примером человека, который стремится пресечь зло и обличить его, является известный австралийский журналист Джулиан Ассанж. Он открыл миру правду о сотнях преступлений, творившихся во время войн в Афганистане, Иране, Сомали, а также рассекретил многие документы Пентагона, о проводившихся американскими солдатами насильственных действиях против мирного населения во время военных конфликтов. Осознавая то, что он подвергает себя опасности, Д.Ассанж не смог молчать об известных ему преступлениях. Конечно, поступок журналиста значительнее и важнее того, что воспитательница детского дома остановила завхоза, укравшего ведро сахара, но в основе действий этих смелых людей лежит одно: нельзя молчать, зная о совершенных на твоих глазах преступлениях.",281
Как человеку реагировать на совершаемые на его глазах воровство или преступление,"Автор повествует о конкретном случае из жизни одного детдома, где завхоз был «нечист на руку», а все сотрудники просто закрывали на это глаза, считая, что так и должно быть. Своим безразличием работники детского дома подталкивали завхоза на новые кражи, и лишь молодая учительница, возмутившись поступком мужчины, ворующего у сирот, смогла остановить преступника.
Позицию Ф.А.Соколовой определить не сложно: нельзя равнодушно относиться к тому, что кто-то ворует, совершает преступление, потому что наше молчание порождает новые кражи и правонарушения.
Я полностью разделяю точку зрения автора. Наше равнодушие, жизнь по принципу «Моя хата с краю» - есть главные причины того, что воровство и преступления тысячелетия живут в человеческом обществе. Об этом не раз писали классики, публицисты.
Ярким примером к сказанному может послужить кинофильм режиссера Джеймса Вонга «Противостояние», где главный герой ,Питер Дил, имея возможность остановить грабителей магазина, не сделал этого. Страшное наказание ждет Дила: спустя несколько минут после ограбления преступники убивают его дядю. И в этом есть доля вины Питера Дила.
К счастью, не все люди так равнодушны. В одном из номеров журнала «Психология» были приведены результаты социального опроса «Пройдете ли вы мимо происходящего преступления». Восемьдесят процентов респондентов ответили, что они не останутся безучастными. И это радует.
Таким образом, могу сделать вывод, что реакция человека на совершаемое на его глазах зло должна быть активной.",205
